epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,12847.3,1.83243,1.10528,1.12927,0.75451,0.64963,0.72882,0.39487,1.67187,0.99289,1.08542,0.000614,0.000614,0.000614
107,12915.8,1.81934,1.08962,1.1191,0.75123,0.65183,0.72957,0.39437,1.66413,0.98544,1.08119,0.0006008,0.0006008,0.0006008
108,13182.1,1.82761,1.09746,1.12872,0.74811,0.65181,0.72564,0.39109,1.67799,0.99849,1.0846,0.0005876,0.0005876,0.0005876
109,13254.4,1.83603,1.09077,1.12195,0.74409,0.65628,0.72536,0.38757,1.67761,0.9953,1.0838,0.0005744,0.0005744,0.0005744
110,13292,1.85129,1.10613,1.13522,0.74645,0.65702,0.72815,0.39309,1.66517,1.00216,1.0825,0.0005612,0.0005612,0.0005612
111,13363.1,1.81895,1.09066,1.12752,0.7495,0.65282,0.72799,0.39432,1.6698,0.98853,1.08353,0.000548,0.000548,0.000548
112,13409.7,1.83514,1.09334,1.1374,0.74434,0.6593,0.72754,0.3931,1.66645,0.99154,1.08235,0.0005348,0.0005348,0.0005348
113,13475.7,1.82619,1.08475,1.12649,0.7454,0.65096,0.72446,0.3893,1.67574,0.98902,1.08508,0.0005216,0.0005216,0.0005216
114,13989.4,1.82883,1.10582,1.1338,0.74286,0.65294,0.72649,0.38635,1.68493,1.00459,1.08518,0.0005084,0.0005084,0.0005084
115,14033.5,1.81494,1.0969,1.13214,0.74867,0.65461,0.72645,0.39296,1.67384,0.99002,1.08694,0.0004952,0.0004952,0.0004952
116,14085.3,1.81836,1.09061,1.13055,0.74991,0.65435,0.72875,0.3941,1.67232,0.98961,1.08436,0.000482,0.000482,0.000482
117,14130.4,1.82038,1.08713,1.12052,0.74613,0.65214,0.72764,0.39336,1.67169,0.99246,1.08392,0.0004688,0.0004688,0.0004688
118,14190.6,1.83,1.09261,1.12341,0.75159,0.65335,0.72867,0.39708,1.6659,0.98481,1.08136,0.0004556,0.0004556,0.0004556
119,14237.4,1.81489,1.08084,1.12227,0.7421,0.65288,0.72464,0.38986,1.67385,1.00434,1.08125,0.0004424,0.0004424,0.0004424
120,14284.1,1.82415,1.09274,1.12024,0.74134,0.65387,0.72401,0.3918,1.67866,0.99106,1.08469,0.0004292,0.0004292,0.0004292
121,14336.4,1.82789,1.08317,1.11178,0.74343,0.6543,0.72527,0.38902,1.6841,0.9939,1.0848,0.000416,0.000416,0.000416
122,14387.7,1.82999,1.08972,1.12323,0.73923,0.65721,0.7262,0.38639,1.68078,1.00407,1.08364,0.0004028,0.0004028,0.0004028
123,14425.3,1.83705,1.09155,1.13184,0.74543,0.65325,0.72699,0.391,1.66828,0.997,1.07999,0.0003896,0.0003896,0.0003896
124,14472.1,1.82362,1.08904,1.13529,0.74382,0.65981,0.72996,0.39213,1.66982,1.0016,1.08085,0.0003764,0.0003764,0.0003764
125,14518.2,1.80317,1.07277,1.11496,0.74846,0.65387,0.72713,0.39395,1.67552,0.98606,1.08402,0.0003632,0.0003632,0.0003632
126,14561.8,1.81337,1.08369,1.13185,0.7443,0.65501,0.72813,0.38916,1.68829,0.98675,1.0866,0.00035,0.00035,0.00035
127,14599,1.84095,1.09549,1.12414,0.75296,0.6527,0.72878,0.39673,1.66664,0.97654,1.08182,0.0003368,0.0003368,0.0003368
128,14680.8,1.81055,1.07976,1.13269,0.74642,0.65956,0.73095,0.39651,1.66648,0.98406,1.08142,0.0003236,0.0003236,0.0003236
129,14737.1,1.82906,1.07883,1.12841,0.74771,0.65838,0.73185,0.39574,1.66911,0.98246,1.07991,0.0003104,0.0003104,0.0003104
130,14773.9,1.8144,1.08219,1.12921,0.74624,0.65485,0.72836,0.39286,1.6702,0.98159,1.08218,0.0002972,0.0002972,0.0002972
131,14827.2,1.8196,1.07691,1.12452,0.74745,0.6569,0.72918,0.39546,1.66203,0.99324,1.0783,0.000284,0.000284,0.000284
132,14864.3,1.80072,1.07076,1.11912,0.74681,0.66228,0.73351,0.39963,1.66431,0.97958,1.08046,0.0002708,0.0002708,0.0002708
133,14917.7,1.83177,1.08687,1.13369,0.74937,0.656,0.73161,0.39553,1.66158,0.98834,1.07873,0.0002576,0.0002576,0.0002576
134,15004.8,1.80841,1.0733,1.12119,0.74647,0.65678,0.72988,0.39475,1.66757,0.98584,1.08118,0.0002444,0.0002444,0.0002444
135,15320.1,1.82333,1.07778,1.12584,0.74824,0.65814,0.73094,0.39638,1.66413,0.98546,1.08029,0.0002312,0.0002312,0.0002312
136,15374.1,1.8162,1.0663,1.12375,0.74482,0.66129,0.73097,0.39342,1.66574,0.98148,1.08042,0.000218,0.000218,0.000218
137,15412.4,1.84063,1.09365,1.13704,0.74104,0.66056,0.72939,0.39327,1.66725,0.98836,1.08065,0.0002048,0.0002048,0.0002048
138,15450.7,1.80167,1.06827,1.11597,0.74618,0.66118,0.73354,0.39835,1.66158,0.97641,1.07864,0.0001916,0.0001916,0.0001916
139,15491.7,1.81261,1.07802,1.12248,0.74774,0.65931,0.73002,0.39678,1.66162,0.97601,1.07927,0.0001784,0.0001784,0.0001784
140,15533.9,1.8223,1.07321,1.12432,0.74119,0.66191,0.73041,0.3981,1.65885,1.00112,1.0778,0.0001652,0.0001652,0.0001652
141,15604.1,1.79881,1.14944,1.1531,0.76372,0.63984,0.72643,0.39261,1.6717,0.98364,1.08417,0.000152,0.000152,0.000152
142,15637.6,1.80987,1.11623,1.15998,0.74863,0.64948,0.72399,0.39236,1.66471,0.9995,1.07931,0.0001388,0.0001388,0.0001388
143,15671.1,1.80316,1.10415,1.15277,0.74796,0.65604,0.73111,0.39748,1.65524,0.98243,1.0762,0.0001256,0.0001256,0.0001256
144,15704.7,1.79776,1.09726,1.16067,0.75529,0.65292,0.73153,0.39628,1.66411,0.97969,1.07869,0.0001124,0.0001124,0.0001124
145,15738.5,1.79399,1.09506,1.15212,0.74899,0.66094,0.73412,0.39885,1.65809,0.97524,1.07767,9.92e-05,9.92e-05,9.92e-05
146,15772.4,1.78216,1.08008,1.15857,0.75185,0.65925,0.7329,0.40073,1.65345,0.9733,1.0765,8.6e-05,8.6e-05,8.6e-05
147,15806,1.79125,1.09469,1.1506,0.75482,0.65313,0.73026,0.39881,1.65693,0.97788,1.07816,7.28e-05,7.28e-05,7.28e-05
148,15839.9,1.78043,1.08591,1.1469,0.7531,0.65715,0.73289,0.40007,1.66304,0.97363,1.08,5.96e-05,5.96e-05,5.96e-05
149,15873.5,1.79966,1.0913,1.15166,0.74992,0.65996,0.73264,0.39852,1.65817,0.97467,1.07739,4.64e-05,4.64e-05,4.64e-05
150,15916.5,1.7944,1.08836,1.15672,0.75197,0.65691,0.73248,0.40036,1.66035,0.97521,1.07868,3.32e-05,3.32e-05,3.32e-05
